"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"3231","3.95703125","3.95703125","3.95703125","3.9140625","3.9140625","3.9140625"
"3241","4.01953125","4.01953125","4.01953125","4.08984375","4.08984375","4.08984375"
"3251","4.046875","4.046875","4.046875","4.015625","4.015625","4.015625"
"3261","4.15625","4.15625","4.15625","3.9609375","3.9609375","3.9609375"
"3271","4","4","4","4.1484375","4.1484375","4.1484375"
"3281","3.9609375","3.9609375","3.9609375","4.01171875","4.01171875","4.01171875"
"3291","3.98828125","3.98828125","3.98828125","4.0078125","4.0078125","4.0078125"
"3301","4.01953125","4.01953125","4.01953125","3.953125","3.953125","3.953125"
"3311","4.01171875","4.01171875","4.01171875","3.984375","3.984375","3.984375"
"3321","4","4","4","4.09765625","4.09765625","4.09765625"
"3331","3.93359375","3.93359375","3.93359375","3.89453125","3.89453125","3.89453125"
"3341","3.87109375","3.87109375","3.87109375","3.93359375","3.93359375","3.93359375"
"3351","3.98046875","3.98046875","3.98046875","3.99609375","3.99609375","3.99609375"
"3361","3.96484375","3.96484375","3.96484375","3.953125","3.953125","3.953125"
"3371","4.01953125","4.01953125","4.01953125","4.0703125","4.0703125","4.0703125"
"3381","3.91796875","3.91796875","3.91796875","4.02734375","4.02734375","4.02734375"
"3391","4.0078125","4.0078125","4.0078125","3.94140625","3.94140625","3.94140625"
"3401","3.96484375","3.96484375","3.96484375","4.00390625","4.00390625","4.00390625"
"3411","3.9765625","3.9765625","3.9765625","3.921875","3.921875","3.921875"
"3421","3.9609375","3.9609375","3.9609375","4.15234375","4.15234375","4.15234375"
"3431","3.984375","3.984375","3.984375","3.9609375","3.9609375","3.9609375"
"3441","3.84375","3.84375","3.84375","4.03515625","4.03515625","4.03515625"
"3451","3.96484375","3.96484375","3.96484375","3.91796875","3.91796875","3.91796875"
"3461","3.84375","3.84375","3.84375","3.95703125","3.95703125","3.95703125"
"3471","3.91015625","3.91015625","3.91015625","3.8359375","3.8359375","3.8359375"
"3481","3.8828125","3.8828125","3.8828125","3.765625","3.765625","3.765625"
"3491","4.078125","4.078125","4.078125","4.0625","4.0625","4.0625"
"3501","3.94921875","3.94921875","3.94921875","4.03125","4.03125","4.03125"
"3511","3.875","3.875","3.875","3.91796875","3.91796875","3.91796875"
